title,author,price,edition,publish_date,item_url,image_url,category,released_year
Pretty Girls,Karin Slaughter,13.15,Paperback,01 Feb 2016,https://www.bookdepository.com/Pretty-Girls-Karin-Slaughter/9780099599449?ref=grid-view&qid=1630182826837&sr=1-87,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099599449.jpg,Thriller,2016
Cross and Burn,Val McDermid,12.02                             ,Paperback,27 Feb 2014,https://www.bookdepository.com/Cross-Burn-Val-McDermid/9780751551273?ref=grid-view&qid=1630182826837&sr=1-88,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751551273.jpg,Thriller,2014
All Is Not Forgotten: The bestselling gripping thriller youll never forget,Wendy Walker,14.11,Paperback,23 Feb 2017,https://www.bookdepository.com/All-Is-Not-Forgotten-bestselling-gripping-thriller-youll-never-forget-Wendy-Walker/9780008203481?ref=grid-view&qid=1630182826837&sr=1-89,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0082/9780008203481.jpg,Thriller,2017
Dark Hollow,John Connolly,10.83                             ,Paperback,18 Feb 2010,https://www.bookdepository.com/Dark-Hollow-John-Connolly/9781444704693?ref=grid-view&qid=1630182826837&sr=1-90,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4447/9781444704693.jpg,Thriller,2010
"Good Girl, Bad Girl",Michael Robotham,8.24                             ,Paperback,06 Aug 2020,https://www.bookdepository.com/Good-Girl-Bad-Girl-Michael-Robotham/9780751573435?ref=grid-view&qid=1630182826837&sr=1-61,https://d3ogvdx946i4sr.cloudfront.net/assets/v2.25.8/img/newsletter-icon.svg,Thriller,2020
Orphan X,Gregg Hurwitz,13.09,Paperback,05 Nov 2016,https://www.bookdepository.com/Orphan-X-Gregg-Hurwitz/9781405910705?ref=grid-view&qid=1630182826837&sr=1-62,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751573435.jpg,Thriller,2016
Distress Signals,Catherine Ryan Howard,11.31                             ,Paperback,05 Jan 2017,https://www.bookdepository.com/Distress-Signals-Catherine-Ryan-Howard/9781782398400?ref=grid-view&qid=1630182826837&sr=1-63,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4059/9781405910705.jpg,Thriller,2017
"Motive (Alex Delaware series, Book 30)",Jonathan Kellerman,10.97                             ,Paperback,01 Sep 2015,https://www.bookdepository.com/Motive-Alex-Delaware-series-Book-30-Jonathan-Kellerman/9781472206442?ref=grid-view&qid=1630182826837&sr=1-64,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7823/9781782398400.jpg,Thriller,2015
Close to Home,Cara Hunter,15.05,Paperback,14 Dec 2017,https://www.bookdepository.com/Close-Home-Cara-Hunter/9780241283097?ref=grid-view&qid=1630182826837&sr=1-65,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4722/9781472206442.jpg,Thriller,2017
Rogue Lawyer,John Grisham,10.40                             ,Paperback,06 May 2016,https://www.bookdepository.com/Rogue-Lawyer-John-Grisham/9781473622883?ref=grid-view&qid=1630182826837&sr=1-66,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2412/9780241283097.jpg,Thriller,2016
The Nameless Ones,John Connolly,16.86                             ,Hardback,08 Jul 2021,https://www.bookdepository.com/Nameless-Ones-John-Connolly/9781529398342?ref=grid-view&qid=1630182826837&sr=1-67,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4736/9781473622883.jpg,Thriller,2021
Every Dead Thing,John Connolly,14.54,Paperback,18 Feb 2010,https://www.bookdepository.com/Every-Dead-Thing-John-Connolly/9781444704686?ref=grid-view&qid=1630182826837&sr=1-68,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5293/9781529398342.jpg,Thriller,2010
